"Choice","A_follower_count","A_following_count","A_listed_count","A_mentions_received","A_retweets_received","A_mentions_sent","A_retweets_sent","A_posts","A_network_feature_1","A_network_feature_2","A_network_feature_3","B_follower_count","B_following_count","B_listed_count","B_mentions_received","B_retweets_received","B_mentions_sent","B_retweets_sent","B_posts","B_network_feature_1","B_network_feature_2","B_network_feature_3"
0.0896264513883819,614689,400,5729,199.618296223,67.8124694734,9.36619224194,0.359533601106,4.09448755266,669,39.1937406855,2565.61251863,1404323,563,20057,967.720641729,579.431127684,4.47379849183,0.805680232136,6.24180594033,4027,57.6438389197,3201.29370629
0.747471912799711,739581,10723,1279,102.026750104,96.7713185484,1.53732181604,1.05435803853,3.46775398195,432,11.1916859122,966.193995381,756715,12949,1311,38.2605222677,10.6975673388,12.8457932425,1.58428385573,12.1066615563,144,209.717241379,21496.5655172
0.0324716244852226,3638,3341,85,2.79357720107,1.40270262958,2.59408926769,0.598150193501,3.80214341589,11,9.41666666667,489.083333333,488750,320,3673,1207.19007707,599.721600029,0.842022024976,0.593198607493,7.04473454517,3918,7.85981781377,637.983299595
0.125535017390981,613,1259,31,1.3260405299,0.35694329868,6.24967818595,2.32306391727,7.48811558083,4,5,275,13456,3599,1072,10.3002222641,3.82856114082,1.62409206545,0.100503358535,1.61428743,43,113.840909091,2537.77272727
0.650738992840794,1352348,331,15647,19129.8486618,14552.7339915,2.06541803294,0.580955253724,16.2815024995,52580,3.09244769678,597.563636364,1481379,147521,15043,9902.07037931,5012.05587584,10.4384603887,0.100503358535,193.072418229,28564,10.9641442568,1035.95549302
0.106106488957169,1010,1014,62,0.957689623377,0.100503358535,1.04701773537,0.337131952744,0.337131952744,4,154.75,1705,9093,672,457,11.1220209346,2.81352304477,15.1659349125,2.53866717594,7.01675925031,36,123.138888889,4708.16666667
0.350783314107024,5922518,483,7594,65758.403536,32054.0555967,1.61241011026,0.100503358535,2.63160675438,187674,6.01569385268,1199.63681206,298668,551,6209,493.256379358,206.660552171,4.11521228104,0.854539102098,3.07546280949,2021,75.9700980392,3865.44656863
0.990832521926324,580544,2799,7371,296.978205315,135.831428625,15.0330256841,4.80717981227,8.26206312673,1201,87.1837748344,3547.78228477,676,243,43,1.98253086255,1.36064061784,0.100503358535,0.100503358535,36.4016397161,6,4.66666666667,269.5
0.0157154359954304,364,927,6,0.551680477817,0.310247364657,0.834980862738,0.339522140564,0.832590674918,2,1.5,122,2774790,20342,15836,5088.57716465,6.18308067892,0.810460607776,0.339522140564,1.08175730664,18549,4.78133906964,454.967894595
0.975344941817597,541611,2140,10406,2418.36985923,981.459888729,13.9255848212,0.100503358535,32.9730239162,8550,59.1202267994,4861.41090025,125438,983,4074,55.1372659579,23.4461396366,2.25139829697,0.100503358535,7.2079084546,239,217.241666667,6466.73333333
0.059746226761846,657021,4535,6187,640.945858955,103.354442415,2.13513670915,0.359533601106,1.87610646658,2453,28.3141932875,1644.85766276,3042715,3811,32579,1951.52822645,890.613211633,1.37257368422,0.100503358535,2.88107706749,7855,33.0857468066,2423.98912356
0.99053768797448,541611,2140,10406,2418.36985923,981.459888729,13.9255848212,0.100503358535,32.9730239162,8550,59.1202267994,4861.41090025,9093,672,457,11.1220209346,2.81352304477,15.1659349125,2.53866717594,7.01675925031,36,123.138888889,4708.16666667
0.901332540424352,756715,12949,1311,38.2605222677,10.6975673388,12.8457932425,1.58428385573,12.1066615563,144,209.717241379,21496.5655172,128305,213,942,140.038427023,77.7520497721,2.14953593034,0.100503358535,19.4340698837,466,29.9936440678,1643.37923729
0.407534665302953,501043,3289,6694,307.805391227,72.5250702042,2.10364411311,0.604091150446,2.83240137645,1093,70.6588021779,4390.37931034,1706188,402,12138,837.580052302,93.569848167,7.6212593663,2.6090599903,4.86627099055,2597,21.2891013384,1937.63938815
